,0,1
0,千呼万唤始出来，,0
1,尼康的APSC小相机终于发布了，,0
2,COOLPIX A. 你怎么看呢？,0
3,我看，尼康是挤牙膏挤惯了啊，,0
4,1，外观既没有V1时尚，,1
5,也没P7100专业，,1
6,反而类似P系列。,0
7,2，CMOS炒冷饭。,1
8,3，OVF没有任何提示和显示。,1
9,（除了框框),0
10,4，28MM镜头是不错，,2
11,可是F2.8定焦也太小气了。,1
12,5，电池坑爹，,1
13,用D800和V1的电池很难吗？,0
14,6，考虑到1100美元的定价，,0
15,富士X100S表示很欢乐。,0
16,***好处是，,0
17,可以确定，,0
18,尼康会继续大力发展1系列了***另外体积比X100S小也算是A的优势吧***。,2
19,等2014年年中跌倒1900左右的时候就可以入手了。,0
20,进xe之前知道有一部m8.2才万元左右，,0
21,十分心动。,0
22,都拿在手中了才突然醒悟，,0
23,色彩fuji未必比leica差，,2
24,结实耐用在数码时代已经不那么重要了，,0
25,"所以拿xe,",0
26,还能多买只老头玩。,0
27,二选一：,0
28,富士X-Pro1+18mmF2和徕卡X？,0
29,玩过的小机器里面感觉成像最好的还是适马的DP系列，,2
30,可是它的机械性能又实在是不好，,1
31,对焦叽叽的叫声让你觉得随时要坏。,1
32,NEX5C玩了半年就出掉了主要是边缘成像太差色散严重，,1
33,NEX5C玩了半年就出掉了主要是边缘成像太差色散严重，,1
34,用转接要好很多但又没有了自动对焦。,1
35,徕卡X2出来后我是成都第一批购买的。,0
36,它的做工确实精湛镜头也很漂亮就是一件工艺品，,2
37,它的做工确实精湛镜头也很漂亮就是一件工艺品，,2
38,在实际使用中发现暗光近景不错有一些独特的味道，,2
39,但是阳光下的远景分辨率说句不好听的就像手机拍的一样而且紫边也不小，,1
40,但是阳光下的远景分辨率说句不好听的就像手机拍的一样而且紫边也不小，,1
41,当然徕卡是神物用的不好主要还是我的水平差。,0
42,出掉x2已经是11月了成都天气一直不太好DP这阳光机也暂时没用。,0
43,12月陪朋友去买尼康D800时看到了富士的XE1就叫老板拿来玩一下，,0
44,结果大吃一惊它的高感在1600时居然和我的D700差不多，,2
45,因为吃过X2的亏又拿到店外试了一下远景不错加了个35/1.4立马拿下现在使用了一段时间非常满意。,2
46,关于X2在多说两句，,0
47,按说徕卡的镜头毋庸置疑那块索尼1600万像素传感器也很不错，,2
48,窃以为还是徕卡的软件功底差了。,1
49,不得不说：,0
50,尼康的工业设计真是倒退了三十年！,1
51,看看这都是些啥垃圾！,0
52,不光新出的无反相机丑得很，,0
53,远赶不上富士X100，,0
54,连新出的80-400也赶不上上一代产品！,0
55,我们要问，,0
56,尼康的工业设计到底怎么了？,1
57,难道连一点设计灵感都没有了吗？,0
58,说老实话，,0
59,真的连三十年前的产品的水平都没有了啊！,0
60,看看F3，,0
61,F4，,0
62,甚至FM2，,0
63,看看第一二代80200，,0
64,都比现在的产品漂亮10倍！,0
65,虽说不太认同感动家的机身设计，,1
66,但感动的镜头的确是一流的外观！,2
67,同样是意大利设计师的作品，,0
68,感动在镜头上，,0
69,绝对不会在最前端的2~3厘米处突然收缩镜筒，,0
70,而是平稳过渡，,0
71,就这点，,0
72,感动就符合大多数人的审美观点。,0
73,而尼康自从出了“竹炮”以后，,0
74,却经常在镜筒的最前端2~3厘米处无缘无故的突然收缩镜筒，,0
75,难道真要节约那么几克材料吗？,0
76,殊不知就是这一哆嗦，一下子就变得丑陋多了！,0
77,D4外形设计真的很成功,2
78,不知道楼主摸没摸过D4真机,0
79,非常成功的设计,2
80,本以为D3系列很难超越了,0
81,但是D4的流线风格显然不比D3差,2
82,在整体感上还更胜一筹,2
83,DX DC还好啦，,0
84,新80400真是有点拿不出手，,0
85,感觉镜筒的设计是很随便的没有用心，,1
86,把VR放到脚架环那一节去，,0
87,口径做大一点点，,0
88,金圈下面那一节弄个DZP那样的防滑橡胶套上，,0
89,不就好看多了？,0
90,现在这个样子怎么看怎么像镜头长倒过来似的。,1
91,CoolpixA 的样子见仁见智了，,0
92,我觉得肯定不算好看，,0
93,但也不丑，,0
94,算是有尼康的风格吧，,0
95,至少比一系好看。,0
96,而且优点是28mm，,0
97,35的选择已经有了，,0
98,出个28的给大家多点选择。,0
99,f2.8个人认为略微欠缺，,0
100,f2就完美了，,0
101,不过考虑到size做的那么小，,0
102,也是可以原谅的。,0
103,我最不满的应该是没有EVF，,1
104,这毕竟是趋势，,0
105,而且都1100刀了，,0
106,扔进去个EVF也不算过分吧。,0
107,尼康也没差哪去。,0
108,富士是抱着复古，,0
109,不能说明它设计有多好。,1
110,富士的卡片，,0
111,也是丑的要死。,0
112,尼康工业设计还行，,2
113,东西至少耐看。,0
114,比如V1，,0
115,刚看觉得丑的要死。,0
116,看多了，,0
117,还很顺眼。,0
118,索尼奶3、5系，,0
119,怎么看，,0
120,看多久，,0
